strategy,source,horizon,total_return,cagr,sharpe,sortino,max_drawdown,alpha,beta,win_rate,num_trades
dual_momentum,research,1y,0.047023976558842495,0.04740894867310863,0.14002102740488567,0.1513643837159331,-0.03587795202814614,,,0.552,8
multi_factor_smart_beta,research,1y,0.0037817292003634595,0.0038120406255441885,-0.6847037348992484,-1.3355279085174072,-0.049071483051266074,-0.2590030030025705,0.13001913311308042,0.068,27
low_vol_anomaly,research,1y,0.10988391873138448,0.11080999629271227,0.8574836820352142,1.2568162690092874,-0.04563068882453247,-0.15200504733540243,0.3233566355207336,0.512,170
momentum_crash_hedge,research,1y,0.1820594041967778,0.18364213564997467,1.1770022318558326,2.098418779450474,-0.049733461460121364,,,0.116,105
risk_parity_momentum,research,1y,-0.039648634147265494,-0.039959400079485285,-0.9370695428836348,-1.2486927612264727,-0.07527475798970895,,,0.52,44
mean_variance_optimal,research,1y,0.04638096846496498,0.04676055979355276,0.11814969555441826,0.10321468343050005,-0.0642854737054952,-0.21605448383456194,0.43591063739933883,0.436,127
dual_momentum,research,3y,0.2789245295841023,0.08605567526063118,0.46782169461841333,0.623837565841578,-0.14515552861701086,,,0.5286284953395473,26
multi_factor_smart_beta,research,3y,0.27712904580129316,0.08554381438834113,0.5353193958675488,0.778237807867395,-0.10352681235804695,-0.002700899365156939,0.2669257840140624,0.40346205059920104,356
low_vol_anomaly,research,3y,0.2722138569199559,0.08414012985903563,0.42610804199828034,0.5605819965458939,-0.12021727396170767,-0.0041045838944624435,0.4778162788401864,0.521970705725699,523
momentum_crash_hedge,research,3y,1.1714999353425193,0.2971811594848821,1.2616196764776637,2.116551503790397,-0.2080275006433172,,,0.38881491344873503,902
risk_parity_momentum,research,3y,-0.06936043999086439,-0.023832027650785514,-0.535114495979515,-0.7984636843772951,-0.1996594782231974,,,0.5206391478029294,138
mean_variance_optimal,research,3y,0.2575083237072744,0.07991887095406303,0.4004965717416277,0.5231285993751494,-0.16151477265561298,-0.008325842799435046,0.43019481569102813,0.49134487350199735,422
dual_momentum,research,5y,0.6015984886471597,0.09910964517776577,0.5488691008008483,0.7252396798693267,-0.2448003522379858,,,0.5573248407643312,52
multi_factor_smart_beta,research,5y,0.7659748651525322,0.12086734974538693,0.7356587489244547,1.070573581898369,-0.15932079371371588,-0.022862954696700966,0.31398282981061504,0.45621019108280253,741
low_vol_anomaly,research,5y,0.7268257250810635,0.11583714800114175,0.529565905063588,0.6827690301403809,-0.27174278389862017,-0.027893156440946143,0.6293605300278662,0.5414012738853503,898
momentum_crash_hedge,research,5y,1.1560491455401443,0.16665985146129692,0.7162643768350277,1.0135216077545144,-0.2507069423763254,,,0.410828025477707,1548
risk_parity_momentum,research,5y,0.23297204438634944,0.042914193356872854,0.08157282681012694,0.034941514320702666,-0.19031327012300092,,,0.5445859872611465,231
mean_variance_optimal,research,5y,0.9289115851011689,0.14089109905966124,0.8794231812783581,1.2697944801233665,-0.10421157417421034,-0.002839205382426657,0.29346877944640026,0.517515923566879,719
dual_momentum,research,10y,0.7989538945835151,0.060627460749477224,0.21435718638024903,0.20574079712036317,-0.3057620791659581,,,0.54733492442323,107
multi_factor_smart_beta,research,10y,2.526996768790107,0.13467412607903229,0.6951700150796976,0.9569165175065414,-0.24163954892619022,0.0038923922266598243,0.6927109612428874,0.5155131264916468,1663
low_vol_anomaly,research,10y,2.047307484515922,0.1181681586580885,0.6159004597493363,0.8300795446835776,-0.2594050990324569,-0.012613575194283966,0.635144139917247,0.548926014319809,2015
momentum_crash_hedge,research,10y,7.430126438467125,0.23823869506751438,1.0547523092890843,1.58440939333746,-0.2508622982411055,,,0.4892601431980907,3797
risk_parity_momentum,research,10y,0.2325681059992475,0.02118109419310965,-0.13810594417981992,-0.2583253174090503,-0.19031894520553516,,,0.535799522673031,467
mean_variance_optimal,research,10y,2.055229653122743,0.11845920543425748,0.705682322448774,0.9670643015039817,-0.156176133202942,-0.012322528418114986,0.4394052518577852,0.5449482895783612,1532
